,KEYWORDS,SUMMARY,TEXT,TITLE,URL
0,"['land', 'honor', 'marines', 'members', 'service', 'numbers', 'corps', 'duty', 'marine', 'sea', 'number']","The U.S. Marine Corps will celebrate its 242nd birthday on Nov. 10.
“Its mission is unique—to provide music for the President of the United States and the Commandant of the Marine Corps,” it explains.
39,106: The amount of people in the Marine Corps Reserve as of August.
MARINE SEEKS TO HONOR FALLEN VETERAN WITH SCULPTURE ON COLLEGE CAMPUS1883: The year “Semper Fidelis” became the official Marine Corps motto.
1: The current commandant of the Marine Corps, Gen. Robert B. Neller.","The U.S. Marine Corps will celebrate its 242nd birthday on Nov. 10.

Below are some important figures and dates for the military branch, which counts tens of thousands of service members among its ranks.

1798: This is when the Marine Corps Band was established by a congressional act, the Marines website says.

“Its mission is unique—to provide music for the President of the United States and the Commandant of the Marine Corps,” it explains.

183,477: The total number of active duty service members as of August 2017, according to the Defense Manpower Defense Center (DMDC).

15,384: The number of active duty women in the Marine Corps as of August, the DMDC says.

39,106: The amount of people in the Marine Corps Reserve as of August.

MARINE SEEKS TO HONOR FALLEN VETERAN WITH SCULPTURE ON COLLEGE CAMPUS

1883: The year “Semper Fidelis” became the official Marine Corps motto. The term means “always faithful” in Latin.

Nov. 21, 1942: This is when then-commandant of the Marine Corps Thomas Holcomb approved a line in “The Marines’ Hymn” be changed from “On the land as on the sea” to “In the air, on land, on sea,” the Marines Corps says.

3: The number of core Marine Corps values. They are honor, courage and commitment.

1: The current commandant of the Marine Corps, Gen. Robert B. Neller.",US Marine Corps by the numbers,https://www.foxnews.com/us/2017/11/06/us-marine-corps-by-numbers.html
1,"['passes', 'kirt', 'offered', 'webster', 'fox', 'sex', 'fans', 'pr', 'parton', 'employee', 'told', 'partons', 'publicist', 'westby', 'say', 'meetandgreets', 'music']","Dolly Parton’s former publicist, Kirt Webster, offered fans meet-and-greets with the superstar singer in exchange for oral sex, three former employees tell Fox News.
The ex-employee told Fox News that Webster routinely approached fans and asked for sexually explicit images, and told the fans they could meet the 71-year-old country superstar if they complied.
Parton released a note about Webster late Thursday via Twitter, which some fans criticized as not critical enough of the publicist.
Webster PR announced Wednesday it will continue operating under the name Westby PR with former Webster PR Senior Vice President Jeremy Westby as CEO.
Westby told Fox News on Thursday on the phone that Webster is not involved in Westby PR in any capacity.","Dolly Parton’s former publicist, Kirt Webster, offered fans meet-and-greets with the superstar singer in exchange for oral sex, three former employees tell Fox News.

“I’ve witnessed him bragging [to staff about] telling Dolly Parton fans they can have a meet-and-greet for a b--- job,” according to a former Webster employee, who worked on Parton’s publicity team for several years. The former employee, who wished to remain anonymous for fear of retribution by Webster, said Webster also told the then-employee directly that he received oral sex, on multiple occasions, in exchange for the meet-and-greets.

The ex-employee told Fox News that Webster routinely approached fans and asked for sexually explicit images, and told the fans they could meet the 71-year-old country superstar if they complied. The former employee said Webster showed her and other employees the explicit photos he received from fans, after promising to introduce them to Parton. The employee’s boyfriend, who also spoke to Fox News, said she often complained of Webster’s lurid use of Parton’s fame.

The former employee said she does not believe Parton was ever aware of Webster’s behavior.

Another former staffer who worked for Webster told Fox News he also heard the publicist brag about “trading” meet-and-greets and backstage passes for oral sex, as late as Parton’s “most recent touring season.” Parton’s ""Pure and Simple"" tour ran from June 3, 2016 to December 10, 2016.

A third employee echoed the others’ statements and said Webster often spoke of using Parton’s name for sexual favors from fans.

Parton cut ties with Webster’s firm this week, and her face disappeared from the front page of the company website on Thursday. It was not immediately clear if she had acquired a new publicist. Her manager and record label did not return repeated requests for comment about Webster allegedly using her name in exchange for sexual favors.

Parton released a note about Webster late Thursday via Twitter, which some fans criticized as not critical enough of the publicist. ""I've worked with Kirt Webster for many years, and he has done a wonderful job. I am hoping that the accusations are not true,"" she wrote.

Kenny Rogers, Kid Rock, Randy Travis and other artists have also cut ties with Webster.

Webster did not return Fox News’ multiple requests for comment about the employees’ claims he leveraged his connection with Parton for sexual favors.

Webster PR announced Wednesday it will continue operating under the name Westby PR with former Webster PR Senior Vice President Jeremy Westby as CEO. Westby told Fox News on Thursday on the phone that Webster is not involved in Westby PR in any capacity.

Representatives for Webster himself, or for the company, did not respond to numerous requests for comment.","Country music publicist Kirt Webster offered fans meet-and-greets, backstage passes in exchange for sex, employees say",https://www.foxnews.com/entertainment/2017/11/03/country-music-publicist-kirt-webster-offered-fans-meet-and-greets-backstage-passes-in-exchange-for-sex-employees-say.html
2,"['barneys', '375', 'industries', 'antifainspired', 'statement', 'slammed', 'members', 'antifa', 'm65', 'field', 'fashion', 'gets', 'twitter', 'online', 'jacket']","Over the weekend, apparel company Alpha Industries launched an antifa-influenced M-65 Anarchy Cotton-Blend Field Jacket on high-end retailer Barneys' website.
Now the $375 military-style canvas zip-up with “stand collar” and “snap flap patch pockets,” is getting slammed by the demographic it was trying to market to – antifa members and anarchists.
Some have questioned if the jacket is fake because of its bizarrely high-price tag (members of the antifa movement are usually against capitalism) and over-the-top look.
Alpha Industries recognizes that the M65 field jacket has and will remain a canvas for all manner of self expression,” the statement continues.
Regardless, neither side of the political aisle seem to be interested in an outrageously priced jacket selling them a revolution.","This isn’t the first time fashion and politics have come together, but this may be the least successful.

Over the weekend, apparel company Alpha Industries launched an antifa-influenced M-65 Anarchy Cotton-Blend Field Jacket on high-end retailer Barneys' website.

Now the $375 military-style canvas zip-up with “stand collar” and “snap flap patch pockets,” is getting slammed by the demographic it was trying to market to – antifa members and anarchists.

WHY IVANKA TRUMP IS A ROLE MODEL — AND FASHION ICON — IN JAPAN

The olive green jacket, which is posed with designer distressed jeans and Doc Marten boots – a symbol of punk fashion – features a bold “Revolution” printed across the front, along with a sloppy anarchy symbol and other ""edgy"" phrases and quips.

Angelyn Fernandez, VP of Product at Alpha Industries, said in an e-mailed statement to the Daily Dot, “We have seen resistance to power and authority become a trend in our current pop culture and society, often expressed through fashion,” she said.

However, that attempt to capitalize on the pop culture “trend” of resistance to power is what has many outraged on Twitter. Some have questioned if the jacket is fake because of its bizarrely high-price tag (members of the antifa movement are usually against capitalism) and over-the-top look.

The commercialized jacket tries very hard to look authentically anarchist, while also costing nearly $400 and being mass-produced, but is not winning any fans.

Alpha Industries, which “started as a contractor for the U.S. Military,” said in a statement to Fox News, “Since 1965, the M65 field jackets have been a favored method to graphically express one’s opinion.”

FOLLOW US ON FACEBOOK FOR MORE FOX LIFESTYLE NEWS

“Alpha developed the Barneys M65 anarchy jacket to encompass the artistic and graphic expressions of individuality. Self-expression often inspires fashion, and fashion inspires self expression. Alpha Industries recognizes that the M65 field jacket has and will remain a canvas for all manner of self expression,” the statement continues.

People on Twitter aren't buying the ""self-expression"" angle. One user is even claiming this is an attempt to silence anti-facism members by making them “trendy.” While another is calling for a complete boycott of Barneys, who is selling the jacket.

Other Twitter users argue, however, that the coat will be purchased by ""ANTIFA cowards"" and ""privileged Millennials.""

Regardless, neither side of the political aisle seem to be interested in an outrageously priced jacket selling them a revolution.",Antifa-inspired $375 jacket gets slammed online,http://www.foxnews.com/lifestyle/2017/11/06/antifa-inspired-375-jacket-gets-slammed-online.html
3,"['face', 'trump', 'democratic', 'challenges', 'bush', 'clintons', 'parties', 'george', 'trumps', 'inside', 'w', 'republican', 'sanders', 'dynasties', 'clinton']","The dynasties at the top of the two major parties for the past quarter-century are under attack from within as never before.
Trump ran as a rejection especially of George W. Bush in the 2016 Republican primaries and used Jeb Bush as a foil during the debates, riding that anti-establishment wave all the way to the White House.
But Sanders was running against Bill Clinton’s centrist Democratic Leadership Council legacy as much as his was a protest candidacy against Hillary.
Republicans (and more than a few liberals) have begun to miss the virtues of both Presidents Bush after prolonged exposure to Trump’s vices.
Nevertheless, the underlying political conditions in both parties appear to be moving against the Bushes and Clintons.","By W. James Antle III - The Washington Examiner

The open sniping between President Trump and the Bush family comes at the same time that veteran Democratic insider Donna Brazille is revealing her doubts about Hillary Clinton’s candidacy and the process by which she beat Bernie Sanders.

It’s not a mere coincidence. The dynasties at the top of the two major parties for the past quarter-century are under attack from within as never before. Trump ran as a rejection especially of George W. Bush in the 2016 Republican primaries and used Jeb Bush as a foil during the debates, riding that anti-establishment wave all the way to the White House.

Hillary Clinton was able to beat back a surprisingly strong primary challenge from Sanders, the septuagenarian socialist senator from Vermont who had never even appeared on the ballot as a Democrat before. But Sanders was running against Bill Clinton’s centrist Democratic Leadership Council legacy as much as his was a protest candidacy against Hillary.

Both outcomes have been second-guessed. Hillary’s defeat at the hands of Trump has some Democrats quietly questioning whether Sanders was right all along, even as they cheer her not-so-cathartic book tour. Republicans (and more than a few liberals) have begun to miss the virtues of both Presidents Bush after prolonged exposure to Trump’s vices.

Nevertheless, the underlying political conditions in both parties appear to be moving against the Bushes and Clintons. Look no further than Virginia, where no less of a Bush Republican than Ed Gillespie has taken a page out of Trump’s playbook to run a hard-nosed campaign in which culture war issues have been more prominent than his preferred technocratic policy solutions (though one could argue his campaign ads are also reminiscent of the work the late Lee Atwater did for George H.W. Bush).",The Clinton and Bush Dynasties Face Challenges from Inside Their Own Parties,http://nation.foxnews.com/2017/11/07/clinton-and-bush-dynasties-face-challenges-inside-their-own-parties#commenting
4,"['wisdom', 'coverage', 'mueller', 'times', 'rabid', 'michael', 'york', 'debacle', 'week', 'opinion', 'turned', 'coordinated', 'view', 'treason', 'defense', 'page', 'goodwin', 'resembles']","By Michael Goodwin, New York Post-FOX NEWSA friend likens The New York Times to a 1960s adolescent who refuses to grow up.
In a perpetual state of outrage, it is a newspaper of college snowflakes who embrace all forms of diversity except thought.
It sees its liberal politics not as a point of view, but as received wisdom that cannot be legitimately disputed.
I say coordinated because the newsroom and the opinion page produced similar pieces on the same day, showing again how Executive Editor Dean Baquet has erased the barrier between news and opinion and turned every page into an opinion page.
In the Times’ view, there are only two reasons to question Mueller’s credibility: insanity or treason.","By Michael Goodwin, New York Post-FOX NEWS

A friend likens The New York Times to a 1960s adolescent who refuses to grow up. In a perpetual state of outrage, it is a newspaper of college snowflakes who embrace all forms of diversity except thought.

It sees its liberal politics not as a point of view, but as received wisdom that cannot be legitimately disputed.

The fixation on conformity reached a new low last week when the paper rolled out a coordinated attack on those of us who believe special counsel Robert Mueller ought to resign. I say coordinated because the newsroom and the opinion page produced similar pieces on the same day, showing again how Executive Editor Dean Baquet has erased the barrier between news and opinion and turned every page into an opinion page.

In the Times’ view, there are only two reasons to question Mueller’s credibility: insanity or treason. And so we detractors stand accused of engaging in a conspiracy that will embolden adversaries like Russia and produce a “constitutional crisis.”",Michael Goodwin: New York Times' Rabid Defense Of Mueller Resembles The Debacle Of Its 2016 Campaign Coverage,http://nation.foxnews.com/2017/11/06/michael-goodwin-new-york-times-rabid-defense-mueller-resembles-debacle-its-2016-campaign#commenting
5,"['seethers', 'shaun', 'audio', 'bands', 'world', 'rise', 'powers', 'j', 'awareness', 'suicide', 'tonya', 'raising', 'morgan', 'fest', 'prevention']","Lead singer Shaun Morgan, lost his brother Eugene on August 13, 2007 after he committed suicide in a hotel.
Following the terrible loss, Morgan and the band founded the 'Rise Above Fest' that has taken place the past five straight years in Bangor, Maine.
FOX's Tonya J.
Powers spends ""A Few Moments With..."" Morgan to talk about what they are doing for suicide prevention and discuss the band's latest album 'Poison the Parish'.
Listen to the interview below:To Donate to the 'Rise Above Fest' CLICK HEREFollow Tonya J.","Audio clip: Listen to audio clip.

Since their formation in 1999, Seether has become one of the most successful bands in the world. The hard rocking trio from Pretoria, South Africa has released eight albums, three of which have gone Platinum and two more that are certified Gold. Lead singer Shaun Morgan, lost his brother Eugene on August 13, 2007 after he committed suicide in a hotel. Following the terrible loss, Morgan and the band founded the 'Rise Above Fest' that has taken place the past five straight years in Bangor, Maine.

FOX's Tonya J. Powers spends ""A Few Moments With..."" Morgan to talk about what they are doing for suicide prevention and discuss the band's latest album 'Poison the Parish'.

Listen to the interview below:

To Donate to the 'Rise Above Fest' CLICK HERE

Follow Tonya J. Powers on Twitter: @TonyaJPowers",Seether’s Shaun Morgan Raising Awareness of Suicide Prevention,https://radio.foxnews.com/2017/10/30/seethers-shaun-morgan-raising-awareness-of-suicide-prevention/
6,"['rehab', 'kevin', 'men', 'treatments', 'sex', 'harvey', 'issues', 'addiction', 'inside', 'treated', 'spacey', 'treatment', 'weinstein', 'recovery', 'gentle', 'program', 'reportedly']","While experts continue to debate whether or not sex addiction should be classified as a mental health disorder, two fallen Hollywood magnates have reportedly checked into America’s swankiest rehab to conquer their demons.
Fallen “House of Cards” actor Kevin Spacey is believed to be in rehab at The Meadows treatment facility in Wickenberg, Ariz., where movie mogul Harvey Weinstein is also said to be staying, according to the Daily Mail.
The two men are likely enrolled in the Gentle Path program, which touts itself online as the “nation’s premier inpatient treatment for sex addiction” for men.
Dubbing the program as the “quintessential model of sex addiction treatment,” the campus also boasts a fitness center and outdoor swimming pool on its lush grounds, with counseling, nursing, medical and psychiatric services available on site.
Tiger Woods, Kate Moss, Selena Gomez and Elle Macpherson have all checked into the luxurious rehab for various treatments, the Mail notes.","While experts continue to debate whether or not sex addiction should be classified as a mental health disorder, two fallen Hollywood magnates have reportedly checked into America’s swankiest rehab to conquer their demons.

Fallen “House of Cards” actor Kevin Spacey is believed to be in rehab at The Meadows treatment facility in Wickenberg, Ariz., where movie mogul Harvey Weinstein is also said to be staying, according to the Daily Mail.

The two men are likely enrolled in the Gentle Path program, which touts itself online as the “nation’s premier inpatient treatment for sex addiction” for men. Developed by Dr. Patrick Carnes, a pioneer in sex addiction and recovery issues, the 45-day program has space for 28 men in 24-hour monitored care to the tune of a cool $37,000 a month, Business Insider reports.

BEAUTY PAGEANT HOPEFULS SPORT BEEF BIKINIS TO PROTEST SEXUAL HARASSMENT

Hosted in a self-contained, 35-acre campus with mountain views, the program’s treatments include equine and expressive art therapy yoga, Tai-chi, acupuncture and daily mindfulness meditation to combat sexually related issues and traumas, according to Gentle Path’s promotional video. Dubbing the program as the “quintessential model of sex addiction treatment,” the campus also boasts a fitness center and outdoor swimming pool on its lush grounds, with counseling, nursing, medical and psychiatric services available on site.

Through an “innovative and highly effective treatment plan especially designed to heal male sex addicts,"" patients are “guided on their journey of recovery by examining the underlying causes of addiction and co-occurring disorders,” Gentle Path’s website states.

HAWAII JUDGE ORDERS MAN TO WRITE 144 COMPLIMENTS ABOUT HIS EX

“The goal is for these individuals to gain the courage to face difficult issues, including grief and loss; heal from emotional trauma; and become accountable for their own feelings, behaviors, and recovery,” it adds.

Just an hour drive from Phoenix, The Meadows has long been a go-to facility for the stars. Tiger Woods, Kate Moss, Selena Gomez and Elle Macpherson have all checked into the luxurious rehab for various treatments, the Mail notes.

FOLLOW US ON FACEBOOK FOR MORE FOX LIFESTYLE NEWS

No word yet, though, on whether Spacey and Weinstein’s loved ones will be dropping by for “Family Week” programs.","Inside the $37,000-a-month sex addiction rehab where Kevin Spacey, Harvey Weinstein are reportedly being treated",http://www.foxnews.com/lifestyle/2017/11/07/inside-37000-month-sex-addiction-rehab-where-kevin-spacey-harvey-weinstein-are-reportedly-being-treated.html
7,"['dinner', 'trump', 'week', 'plotted', 'house', 'bring', 'scandal', 'donald', 'white', 'russia', 'video', 'edward', 'president', 'obama', 'klein', 'questions']","Earlier this week, as the so-called Trump-Russia scandal dominated the headlines, Ed Klein joined Tom Shillue to shed some light on how the top in people in the Obama White House plotted to sabotage the Donald Trump by intentionally raising questions of collusion.
According to Klein, it all took place after dinner in December 2016.
President Obama, former White House adviser Valerie Jarrett and others top insiders quietly discussed how they could undermine President-Election Donald Trump after Hillary Clinton's shocking loss.
After some debate and reluctance by Barack and Michelle Obama, the group decided to raise questions about Trump's ties to Russia by ""unmasking"" Donald Trump campaign officials.
Klein discusses the dinner and other ""deep state"" plots against President Trump in his new book, ""All Out War: The Plot to Destroy Trump"".","Earlier this week, as the so-called Trump-Russia scandal dominated the headlines, Ed Klein joined Tom Shillue to shed some light on how the top in people in the Obama White House plotted to sabotage the Donald Trump by intentionally raising questions of collusion.

According to Klein, it all took place after dinner in December 2016. President Obama, former White House adviser Valerie Jarrett and others top insiders quietly discussed how they could undermine President-Election Donald Trump after Hillary Clinton's shocking loss.

After some debate and reluctance by Barack and Michelle Obama, the group decided to raise questions about Trump's ties to Russia by ""unmasking"" Donald Trump campaign officials.

Klein discusses the dinner and other ""deep state"" plots against President Trump in his new book, ""All Out War: The Plot to Destroy Trump"".",(VIDEO) Edward Klein On How The Obama Administration Plotted The Russia Scandal And Bring Down Trump … Over Dinner.,https://radio.foxnews.com/2017/11/01/video-edward-klein-on-how-the-obama-administration-plotted-the-russia-scandal-and-bring-down-trump-over-dinner/
8,"['album', 'everybody', 'janson', 'audio', 'scott', 'gurnal', 'writing', 'song', 'songs', 'chris', 'twitter', 'writes']","Audio clip: Listen to audio clip.
Country artist Chris Janson has a new album out titled 'Everybody' and decided to stop by FOX News Radio to talk about that and his musical journey so far.
'Everybody' is Janson's sophomore album and features a number of different sounding songs for ""everybody.""
FOX's Gurnal Scott spends ""A Few Moments With..."" Janson to discuss how he writes songs, what instruments he plays, the art of songwriting and writing for Tim McGraw and a lot more.
Listen to the interview below:Follow Gurnal Scott on Twitter: @GurnalScott","Audio clip: Listen to audio clip.

Country artist Chris Janson has a new album out titled 'Everybody' and decided to stop by FOX News Radio to talk about that and his musical journey so far. 'Everybody' is Janson's sophomore album and features a number of different sounding songs for ""everybody.""

FOX's Gurnal Scott spends ""A Few Moments With..."" Janson to discuss how he writes songs, what instruments he plays, the art of songwriting and writing for Tim McGraw and a lot more.

Listen to the interview below:

Follow Gurnal Scott on Twitter: @GurnalScott",Chris Janson: My New Album Has a Song for “Everybody”,https://radio.foxnews.com/2017/11/06/chris-jason-my-new-album-has-a-song-for-everybody/
9,"['passenger', 'crew', 'confirmed', 'fox', 'morning', 'member', 'united', 'beijing', 'initiates', 'altercation', 'airline', 'flight', 'post', 'turns']","A United Airlines flight was forced to turn back after an unruly passenger “initiated an altercation” with the flight’s crew, an airline representative confirmed to Fox News.
POPULAR AIRLINE REMOVING FIRST-CLASS SEATING“Flight 808 from Beijing to Washington Dulles returned to Beijing after a customer initiated an altercation with a member of the flight crew, causing a safety concern,” a spokesman for United confirmed to Fox News.
United could not confirm the cause of the altercation, but The Beijing News wrote (via the Morning Post) that the passenger had initially gotten into an argument with another flyer before turning his anger on a flight attendant who tried to intervene.
They further reported that the unruly passenger appeared to be under the influence of alcohol.
The Morning Post stated that the flight crew sent out an emergency call about two hours into the flight before turning around near the border of China and Russia, over the Heilongjiang province.","A United Airlines flight was forced to turn back after an unruly passenger “initiated an altercation” with the flight’s crew, an airline representative confirmed to Fox News.

The South China Morning Post originally reported that the aircraft — which was heading from Beijing to Washington, D.C., on Friday evening — had landed back at the Beijing airport at 10:30 p.m., or only 3½ hours after takeoff.

POPULAR AIRLINE REMOVING FIRST-CLASS SEATING

“Flight 808 from Beijing to Washington Dulles returned to Beijing after a customer initiated an altercation with a member of the flight crew, causing a safety concern,” a spokesman for United confirmed to Fox News.

United could not confirm the cause of the altercation, but The Beijing News wrote (via the Morning Post) that the passenger had initially gotten into an argument with another flyer before turning his anger on a flight attendant who tried to intervene. They further reported that the unruly passenger appeared to be under the influence of alcohol.

The Morning Post stated that the flight crew sent out an emergency call about two hours into the flight before turning around near the border of China and Russia, over the Heilongjiang province.

WATCH: MAN RIDES BAGGAGE CAROUSEL AT AIRPORT, ESCAPES ONTO TARMAC

United also confirmed that law enforcement officials met the aircraft at the gate, where the offending passenger “deplaned without incident.”

“Our remaining customers were provided with hotel accommodations, meal vouchers, and were rebooked on a flight departing the following day,” the airline added.

FOLLOW US ON FACEBOOK FOR MORE FOX LIFESTYLE NEWS

The Associated Press contributed to this report.",United flight turns around after passenger initiates 'altercation' with crew member,https://www.foxnews.com/travel/2017/11/06/united-flight-turns-around-after-passenger-initiates-altercation-with-crew-member.html
